Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Cartago (Valle del Cauca); 4.430 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Chiquinquirá (Boyacá); 3.640 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Cúcuta, Cenabastos; 4.496 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Duitama (Boyacá), Mercaplaza; 3.933 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Florencia (Caquetá); 4.482 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Ibagué, Plaza La 21; 4.128 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Manizales, Centro Galerías; 4.083 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Medellín, Central Mayorista de Antioquia; 4.237 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;"Medellín, Plaza Minorista ""José María Villa"""; 4.238 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Montería, Mercado del Sur; 4.404 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Pamplona (Norte de Santander); 3.608 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Pereira, La 41; 4.183 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Pereira, Mercasa; 3.964 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Rionegro (Antioquia); 4.339 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;San Gil (Santander); 3.939 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Santa Marta (Magdalena); 4.744 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Sincelejo, Nuevo Mercado; 4.384 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Socorro (Santander); 4.038 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Tibasosa (Boyacá), Coomproriente; 3.775 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Tunja, Complejo de Servicios del Sur; 3.535 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Valledupar, Mercabastos; 4.494 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Villavicencio, CAV; 4.208 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Yopal (Casanare); 4.521 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Buenaventura (Valle del Cauca); 4.373 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Cali, Cavasa; 3.999 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Cali, Santa Elena; 3.752 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Neiva, Surabastos; 3.880 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Palmira (Valle del Cauca); 4.107 ;;
ene-23;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca importada;Cali, Cavasa; 4.366 ;;
